domain,schdomain,ukdomain,county,urns
bramptonellis.org.uk,0,1,,"{144197,106936}"
brampton-inf.cambs.sch.uk,1,1,cambs,{110697}
brampton-jun.cambs.sch.uk,1,1,cambs,{110675}
bramptonmanor.newham.sch.uk,1,1,newham,{102781}
bramptonmanor.org,0,0,,{136669}
bramptonprimary.co.uk,0,1,,{102711}
bramptonprimaryschool.co.uk,0,1,,{112405}
bramptons-primary-school.co.uk,0,1,,{121803}
brampton.suffolk.sch.uk,1,1,suffolk,{124724}
bramsomfederation.net,0,0,,"{124609,124723}"
brancaster.norfolk.sch.uk,1,1,norfolk,{121131}
brandesburton.eriding.net,0,0,,{117831}
brandhall.sandwell.sch.uk,1,1,sandwell,{103976}
br-and-h.org.uk,0,1,,"{137021,137022}"
brandlehowschool.org.uk,0,1,,{101001}
brandlingprimaryschool.org.uk,0,1,,{108359}
brandonprimaryschool.co.uk,0,1,,{135207}
brandwoodprimaryschool.com,0,0,,{105148}
branfil.havering.sch.uk,1,1,havering,{135588}
branfil-inf.havering.lgfl.net,0,0,,{102275}
branfil-jun.havering.sch.uk,1,1,havering,{102274}
branksomeheath.co.uk,0,1,,{113703}
branksome.org.uk,0,1,,{114321}
brannel.com,0,0,,{112050}
branscombe.devon.sch.uk,1,1,devon,{113348}
bransgoreprimaryschool.co.uk,0,1,,"{137693,116274}"
branstonca.lincs.sch.uk,1,1,lincs,{136358}
branstoncc.lincs.sch.uk,1,1,lincs,{120714}
branston-infant.lincs.sch.uk,1,1,lincs,"{144122,120516}"
branston-junior.lincs.sch.uk,1,1,lincs,{138486}
bransty.cumbria.sch.uk,1,1,cumbria,{112167}
brant-broughton.lincs.sch.uk,1,1,lincs,{120594}
brantfield.com,0,0,,{112091}
branton.northumberland.sch.uk,1,1,northumberland,{122188}
brantridge-school.co.uk,0,1,,{134063}
brassington.derbyshire.sch.uk,1,1,derbyshire,{112515}
brattonstpeters.org.uk,0,1,,{123530}
bratton.wilts.sch.uk,1,1,wilts,{126178}
braunstonefrithjunior.com,0,0,,{120030}
braunstonefrith.org.uk,0,1,,{120031}
braunstone.leicester.sch.uk,1,1,leicester,"{143245,128085}"
braunstonprimary.com,0,0,,{141048}
braunton-caen-primary.devon.sch.uk,1,1,devon,{113138}
braunton.devon.sch.uk,1,1,devon,"{138041,113508}"
